unique_id,source_field,bullet_position,bullet_text,capability_id,domain,tracer_id,pattern
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,8,Neonatal Intensive Care Unit is available at Kovai Medical Center And Hospital,icu,procedures,critical_care_service,intensive care
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,8,Neonatal Intensive Care Unit is available at Kovai Medical Center And Hospital,nicu,procedures,neonatal_care,neonatal intensive
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,14,24x7 emergency care,emergency,procedures,emergency_service,emergency (department|services|care|room)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,20,Specialties include: Anaesthesiology; Bariatrics; Cardiology; Dentistry; Dermatology; Emergency Medicine; ENT; Gastroenterology; General Surgery; Hematology; Hepatology; Internal Medicine,emergency,staff,emergency_physician,emergency (physician|medicine|doctor)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,20,Specialties include: Anaesthesiology; Bariatrics; Cardiology; Dentistry; Dermatology; Emergency Medicine; ENT; Gastroenterology; General Surgery; Hematology; Hepatology; Internal Medicine,general_surgery,procedures,surgical_procedures,general surgery
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,28,Has liver transplant surgeon Dr. Rajeev Ranjan Sinha on staff,general_surgery,staff,surgeon,surgeon
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,32,"KMCH provides emergency care, ICU, trauma care, cardiology, cardiothoracic surgery, transplant surgery, and cancer care",emergency,procedures,emergency_service,emergency (department|services|care|room)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,32,"KMCH provides emergency care, ICU, trauma care, cardiology, cardiothoracic surgery, transplant surgery, and cancer care",trauma,procedures,trauma_care,trauma (care|centre|center|management)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,39,"Dr. Biji Bahuleyan is a visiting consultant neurosurgeon at Kovai Medical Centre Hospital, Coimbatore.",general_surgery,staff,surgeon,surgeon
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,capability,45,24×7 Emergency & Trauma Care,trauma,procedures,trauma_care,trauma (care|centre|center|management)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,11,Breast Cancer Surgery,oncology,procedures,cancer_treatment,cancer surgery
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,12,Angioplasty,cardiac,procedures,cardiac_procedures,angioplasty
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,15,Appendectomy,general_surgery,procedures,surgical_procedures,appendectomy
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,18,Coronary angiography,cardiac,procedures,cardiac_procedures,angiography
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,23,Operates a cardiology cath lab,cardiac,equipment,cath_lab,cath(eterization)? lab
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,24,Offers chemotherapy services,oncology,procedures,cancer_treatment,chemotherapy
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,25,Provides day-care chemotherapy,oncology,procedures,cancer_treatment,chemotherapy
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,29,Provides general surgery with laparoscopic techniques,general_surgery,equipment,laparoscopy,laparoscop(e|ic|y)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,29,Provides general surgery with laparoscopic techniques,general_surgery,procedures,surgical_procedures,general surgery
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,48,Laparoscopic gastrointestinal and bariatric surgery including sleeve gastrectomy and gastric bypass,general_surgery,equipment,laparoscopy,laparoscop(e|ic|y)
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,procedure,48,Laparoscopic gastrointestinal and bariatric surgery including sleeve gastrectomy and gastric bypass,general_surgery,procedures,surgical_procedures,laparoscopic
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,2,Ambulance service on site,emergency,equipment,ambulance,ambulance
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,4,Intensive Care Unit available on site,icu,procedures,critical_care_service,intensive care
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,17,Cardiology cath lab,cardiac,equipment,cath_lab,cath(eterization)? lab
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,26,PET-CT imaging facility (Nuclear Medicine & PET CT),oncology,diagnostics,cancer_diagnostics,pet[- ]?ct
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,29,Cath Lab,cardiac,equipment,cath_lab,cath(eterization)? lab
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,30,Biplane cath lab,cardiac,equipment,cath_lab,cath(eterization)? lab
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,36,Ventilator with pulmonary graphic display,icu,equipment,ventilator,ventilator
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,44,PET-CT scanner for Nuclear Medicine & PET CT imaging,oncology,diagnostics,cancer_diagnostics,pet[- ]?ct
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,46,Varian Trilogy Linear Accelerator,oncology,equipment,chemo_unit,linear accelerator
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,equipment,47,PET-CT scanner,oncology,diagnostics,cancer_diagnostics,pet[- ]?ct
f136935e-83f0-433f-9d7c-2b53d2263abe,capability,5,Total surgeons: 10,general_surgery,staff,surgeon,surgeon
f136935e-83f0-433f-9d7c-2b53d2263abe,capability,8,Experienced team: 36 dedicated professionals including surgeons and specialists,general_surgery,staff,surgeon,surgeon
f136935e-83f0-433f-9d7c-2b53d2263abe,capability,22,"Dr Mayank Jain is affiliated with Synergy Plus Hospital, Agra as Senior Consultant Surgical Gastroenterologist and Advanced Laparoscopic Surgeon",general_surgery,staff,surgeon,surgeon
f136935e-83f0-433f-9d7c-2b53d2263abe,capability,22,"Dr Mayank Jain is affiliated with Synergy Plus Hospital, Agra as Senior Consultant Surgical Gastroenterologist and Advanced Laparoscopic Surgeon",general_surgery,equipment,laparoscopy,laparoscop(e|ic|y)
f136935e-83f0-433f-9d7c-2b53d2263abe,capability,22,"Dr Mayank Jain is affiliated with Synergy Plus Hospital, Agra as Senior Consultant Surgical Gastroenterologist and Advanced Laparoscopic Surgeon",general_surgery,procedures,surgical_procedures,laparoscopic
f136935e-83f0-433f-9d7c-2b53d2263abe,capability,23,"Specializes in GI, laparoscopic, and bariatric surgery",general_surgery,equipment,laparoscopy,laparoscop(e|ic|y)
